id,population,centroid.size_femur,centroid.size_tibia,centroid.size_pretarsus,centroid.size_claw
HLGT_A303,HLGT,8.314947765,8.486573304,4.907877853,3.347105553
HLGT_A305,HLGT,7.983896122,8.862773874,4.575264347,3.260591866
HLGT_A311,HLGT,7.869351569,8.511416046,4.679813391,3.165655392
HLGT_A313,HLGT,8.23642389,8.615564263,4.7257811,3.343419196
HLGT_A315,HLGT,9.250586083,9.629533114,5.356822714,3.603813969
HLGT_A317,HLGT,8.214287878,9.048393181,4.912725246,3.495188478
HLGT_A324,HLGT,7.629120301,7.967469729,4.365954388,3.012507826
HLGT_A325,HLGT,7.549734093,NA,NA,NA
HLGT_A325,HLGT,NA,8.379841259,4.595098805,3.1091862
HLGT_A326,HLGT,8.638204959,9.24027775,5.13276835,3.543993583
HLGT_A334,HLGT,8.33034392,NA,NA,NA
HLGT_A334,HLGT,NA,8.718788295,4.855271544,3.190354548
HLGT_A346,HLGT,7.565901233,8.649967049,4.416543055,3.203229153
HLGT_A364,HLGT,8.374989063,8.996658188,4.814147896,3.415393682
HLGT_A366,HLGT,8.149222161,8.991505184,4.758847141,3.300048277
HLGT_A367,HLGT,8.605979557,9.185993366,5.253791517,3.309483413
HLGT_A5,HLGT,8.308119786,8.662402702,4.902205344,3.335162606
HLGT_A76,HLGT,7.039145196,7.394623515,4.02778419,2.617365496
HLGT_A77,HLGT,8.975007953,9.334641536,5.14924293,3.519299517
HLGT_A78,HLGT,8.218260747,9.07220605,5.092554558,3.349373553
HLGT_A87,HLGT,9.019535303,9.362975338,5.011816842,3.440392002
HLGT_A90,HLGT,8.69091233,9.211748935,4.828254308,3.471272018
HLGT_HGPLOT1,HLGT,8.880520245,9.054417952,5.005525664,3.443417566
HLGT_J10,HLGT,7.445570703,7.648666699,4.174978433,2.799948116
HLGT_J25,HLGT,8.706641922,9.067178115,5.172992065,3.516810962
HLGT_J26,HLGT,8.319185974,8.579342291,4.830995621,3.265604757
HLGT_J27,HLGT,8.253339119,9.208430284,5.154281267,3.412243307
HLGT_J8,HLGT,8.117338009,9.129654635,4.819306501,3.265903334
HLGT_M1,HLGT,8.335173252,8.76067743,4.871918982,3.151030675
HLGT_T13,HLGT,8.493885301,8.691260407,4.912736766,3.412108737
HLGT_T34,HLGT,8.413667059,9.161142061,5.295057229,3.288949158
HLGT_T4,HLGT,9.226361586,9.37501057,5.060488656,3.422746169
HLGT_T44,HLGT,7.853739559,8.430833657,4.742196859,2.973287313
HLGT_T49,HLGT,8.011999502,8.343325853,4.626888947,3.201469577
HLGT_T51,HLGT,8.33091395,8.978230187,4.731312052,3.028774808
HLGT_T54,HLGT,8.554074645,9.04513656,5.184386136,3.585653931
HLGT_T8,HLGT,8.332898913,8.820866607,4.959964565,3.447965035
HLGT_T9,HLGT,8.497486516,8.900514833,4.902228275,3.390781668
KLS1_A512_l,KLS1,7.277161332,7.645862456,4.372183404,2.789711115
KLS1_A516,KLS1,7.593243087,8.70485491,4.932018932,NA
KLS1_A518,KLS1,7.194665823,7.673467361,4.17737877,2.961459405
KLS1_A525,KLS1,7.783963337,8.467684635,4.970862048,3.425204718
KLS1_A529,KLS1,7.355724351,8.363089711,4.492020044,3.17922833
KLS1_A537,KLS1,7.918769523,8.53072291,4.815121165,3.190600786
KLS1_A538,KLS1,7.67030536,8.473765052,4.882637225,3.326893064
KLS1_A542,KLS1,7.580645879,8.518129129,4.831688227,3.165648566
KLS1_A545,KLS1,7.287782083,8.090576538,4.536270309,3.165260319
KLS1_A546,KLS1,7.72178069,8.013254859,4.539530528,3.111587192
